,id,type,address,number,postal_code,municipality,province,public,available,hours,latitude,longitude
15613,15620.0,Appareil Fixe-Vast Apparaat,Noordlaan,33.0,8520,Kuurne,West-Vlaanderen,Yes,No,,50.86244345,3.2594131081544484
15614,7338.0,Appareil Fixe-Vast Apparaat,Astridlaan (Rechtover Aldi),36.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,,
15615,7338.0,Appareil Fixe-Vast Apparaat,Astridlaan (Rechtover Aldi),36.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,,
15616,7359.0,Appareil Fixe-Vast Apparaat,Meerlaan,25.0,9620,Zottegem,Oost-Vlaanderen,Yes,Yes,,50.86412175,3.8088307289775183
15617,15621.0,Appareil Fixe-Vast Apparaat,Steenweg Naar Asse,183.0,1540,Herne,Vlaams-Brabant,Yes,Yes,,50.9169445,4.246211
15618,7357.0,Appareil Fixe-Vast Apparaat,Jan De Coomanstraat,35.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.8054987,3.9591958833750778
15619,7357.0,Appareil Fixe-Vast Apparaat,Jan De Coomanstraat,35.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.8054987,3.9591958833750778
15620,7339.0,Appareil Fixe-Vast Apparaat,Schillebeekstraat,,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.7573011,3.894425
15621,7339.0,Appareil Fixe-Vast Apparaat,Schillebeekstraat,,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.7573011,3.894425
15622,6713.0,Appareil Fixe-Vast Apparaat,Sasweg,,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.7699761,3.8809821
15623,6713.0,Appareil Fixe-Vast Apparaat,Sasweg,,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.7699761,3.8809821
15624,7350.0,Appareil Fixe-Vast Apparaat,Victor Frisstraat,23.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.770227,3.8585902
15625,7350.0,Appareil Fixe-Vast Apparaat,Victor Frisstraat,23.0,9500,Geraardsbergen,Oost-Vlaanderen,Yes,Yes,,50.770227,3.8585902
